ASIN,Style,Size,SellerSKU_FBA,SKU_FBM,Month,Units Ordered,FBA_units,FBM_units,FBA_pct,BuyBox_pct,Prorated_Spend,Prorated_Orders,Prorated_Impressions,Prorated_Sales,Prorated_ROAS,Overlap_Weeks,Weekly_Rows
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-01,232,231,1,1,1,255,163,305946,2013,8,1,4
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-02,195,195,0,1,1,67,42,67913,481,7,2,5
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-03,210,210,0,1,1,225,122,173971,1759,8,2,6
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-04,300,298,2,0.99,0.99,46,37,20625,378,8,2,5
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-05,250,248,2,0.99,0.99,61,58,10803,639,10,1,5
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-06,142,142,0,1,0.98,102,46,21241,479,5,1,5
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-07,160,160,0,1,0.98,40,23,10850,280,7,1,2
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-10,196,196,0,1,0.99,3,3,378,57,19,1,3
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-11,178,176,2,0.99,1,5,2,2307,32,7,2,6
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2025-12,225,225,0,1,0.99,3,8,1882,78,23,2,5
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2026-01,172,171,1,0.99,0.98,2,0,467,0,0,1,5
B009Z6KL68,Sandalwood,30ML,FR30SANFBA,FR30SAN,2026-02,151,150,1,0.99,1,3,5,256,45,17,0,4
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-01,406,406,0,1,1,461,269,85868,2929,6,1,4
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-02,389,387,2,0.99,1,162,82,23591,850,5,2,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-03,441,441,0,1,1,316,265,55451,2752,9,2,6
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-04,466,465,1,1,1,366,245,40010,2744,7,2,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-05,546,546,0,1,1,757,392,76718,4360,6,1,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-06,627,627,0,1,1,1405,524,125106,5684,4,1,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-07,323,323,0,1,0.98,216,133,29501,1523,7,2,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-08,331,331,0,1,1,72,66,8878,768,11,2,6
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-09,332,332,0,1,0.97,56,54,4259,755,13,2,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-10,266,264,2,0.99,1,72,72,3035,706,10,2,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-11,318,316,2,0.99,1,96,115,7300,1466,15,2,6
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2025-12,314,313,1,1,1,67,101,5466,1292,19,2,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2026-01,310,310,0,1,1,55,58,5436,732,13,1,5
B009Z6KLEK,Vanilla,30ML,FR30VANFBA,FR30VAN,2026-02,266,266,0,1,1,71,60,4701,603,9,0,4
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-01,227,222,5,0.98,1,99,68,37323,643,7,1,4
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-02,331,331,0,1,1,56,31,12454,390,7,2,5
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-03,422,422,0,1,1,116,82,23286,887,8,2,6
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-04,507,506,1,1,1,110,101,13755,1068,10,2,5
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-05,580,580,0,1,1,348,221,52349,2392,7,1,5
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-06,540,540,0,1,1,474,272,68428,2962,6,1,5
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-07,281,280,1,1,0.97,75,49,19685,506,7,2,3
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-08,249,243,6,0.98,1,20,21,5154,230,12,1,3
B009Z6KLQS,Coconut,30ML,FR30COCFBA,FR30COC,2025-09,132,131,1,0.99,0.88,5,1,1090,12,2,1,3
