(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B009YQ5650,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,342,393,0.9894,52,1,467.3,8.81,52,1
B009Z4Y5DK,"P&J Trading Fragrance Oil | Almond Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30ALMSL,520,740,0.9954,156,4,1394.4,27.92,153,4
B009Z6KKVY,"P&J Trading Fragrance Oil | Patchouli Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30PATSL,161,210,1,83,3,740.14,20.94,79,3
B009Z6KL2C,"P&J Trading Blueberry Fragrance Oil, 30ml - Essential Oil for Candle Making, Diffuser, Soap, Perfume, Bath & Body",FR30BLUSL,171,201,0.9948,21,2,188.43,17.62,21,2
B009Z6KL68,"P&J Trading Fragrance Oil | Sandalwood Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30SANFBA,373,477,0.9809,149,7,1338.25,61.67,141,7
B009Z6KLAY,"P&J Fragrance Oil - Banana Scent 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR30BANSL,410,511,0.9834,107,5,961.03,44.05,106,5
B009Z6KLEK,"P&J Fragrance Oil - Vanilla 30ml - Candle Scents, Soap Making, Diffuser Oil, Aromatherapy",FR30VANFBA,580,727,0.9986,181,5,1617.3,44.05,177,3
B009Z6KLJA,"P&J Trading Fragrance Oil | Cinnamon Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30CINSL,271,318,0.9968,63,1,556.11,8.81,63,1
B009Z6KLQS,"P&J Trading - Coconut Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30COCFBA,783,1041,0.9926,260,23,2326.16,195.53,246,14
B009Z6KLZO,"P&J Trading Fragrance Oil | Cranberry Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30CRASL,73,84,0.9875,15,0,134.85,0,13,0
B009Z6KMBW,"P&J Trading - Freesia Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30FREFBA,46,56,0.9811,20,1,177.79,6.98,19,1
B009Z6KMFS,"P&J Fragrance Oil - Christmas Wreath Scent, 30ml",FR30CHWSL,127,143,0.9781,17,4,144.29,27.42,17,4
B009Z6KML2,"P&J Fragrance Oil Gardenia 30ml - Candle Scents, Soap Making, Diffuser Oil, Aromatherapy",FR30GARFBA,159,186,0.9944,42,0,377.58,0,42,0
B009Z6KMTE,"P&J Fragrance Oil - Gingerbread Scented Candle Making Oil, 30ml",FR30GINSL,95,110,0.99,7,0,62.93,0,7,0
B009Z6KN2K,"P&J Trading Fragrance Oil | Jasmine Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30JASSL,310,416,0.9949,126,2,1128.72,13.96,118,2
B009Z6KNFC,"P&J Fragrance Oil | Lavender Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30LAVFBA,346,422,0.9951,149,5,1329.62,44.05,139,5
B009Z6KNP2,"P&J Trading Fragrance Oil | Lilac Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30LILFBA,658,852,0.9988,315,47,2795.31,388.67,266,5
B009Z6KPWI,"P&J Fragrance Oil - Harvest Spice 30ml - Candle Scents, Soap Scents, Diffuser Oil Scents",FR30HAS,114,130,0.9836,1,0,8.99,0,1,0
B009Z6KPWI,"P&J Fragrance Oil - Harvest Spice 30ml - Candle Scents, Soap Scents, Diffuser Oil Scents",FR30HASSL,114,130,0.9836,11,1,87.21,8.81,11,1
B009Z6KQ7C,"P&J Fragrance Oil - Pear Oil 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scent",FR30PEASL,232,294,1,95,2,844.7,17.62,95,2
B009Z6KQGS,"P&J Trading - Rose Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30ROSFBA,759,1010,0.9957,309,13,2757.59,114.53,293,13
B00BVX5FX2,"P&J Fragrance Oil - Violet Scent 30ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR30VIOSL,176,229,1,68,6,610.42,53.04,68,6
B00BVX5GBS,"P&J Fragrance Oil Bubble Gum 30ml - Candle Scents, Soap Making, Diffuser Oil, Aromatherapy",FR30BUGSL,202,230,0.9867,51,6,457.41,52.86,49,5
B00BVX5GHW,"P&J Trading Fragrance Oil | Sweet Pea Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30SWP,199,244,0.9724,1,0,8.99,0,1,0
B00BVX5GHW,"P&J Trading Fragrance Oil | Sweet Pea Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30SWPSL,199,244,0.9724,60,3,538.86,26.43,59,3
B00BVX5GXQ,"P&J Trading Fragrance Oil | Strawberry Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30STRFBA,284,349,0.994,79,10,708.41,88.1,77,9
B00BVX5S70,"P&J Trading Fragrance Oil | Plumeria Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30PLUSL,171,204,0.9947,52,1,467.3,8.81,52,1
B00BVX5SW0,"P&J Trading - Fresh Cotton Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30FRCFBA,819,1084,0.9938,419,5,3765.91,44.05,399,5
