(Child) ASIN,Style,Size,month,Title,SellerSKU_FBA,SKU_FBM,BR_SKU,Sessions - Total,Page Views - Total,BuyBox_pct,Units Ordered,Ordered Product Sales,FBA_units,FBM_units,FBA_pct
B009YQ5650,Apple,30ML,2024-01,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,633,701,0,50,400,38,12,1
B009YQ5650,Apple,30ML,2024-02,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,634,710,0,71,558,63,8,1
B009YQ5650,Apple,30ML,2024-03,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,870,998,0,85,677,82,3,1
B009YQ5650,Apple,30ML,2024-04,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APPSL,1241,1376,1,113,903,113,0,1
B009YQ5650,Apple,30ML,2024-05,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,704,805,1,78,621,75,3,1
B009YQ5650,Apple,30ML,2024-06,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,826,914,1,73,650,70,3,1
B009YQ5650,Apple,30ML,2024-07,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,1048,1163,1,79,703,76,3,1
B009YQ5650,Apple,30ML,2024-08,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,920,1045,1,104,913,102,2,1
B009YQ5650,Apple,30ML,2024-09,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,3615,4307,1,160,1420,133,27,1
B009YQ5650,Apple,30ML,2024-10,"P&J Trading Fragrance Oil | Apple Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30APPSL,FR30APP,FR30APP | FR30APPSL,3648,4339,1,85,762,1,84,0
