SellerSKU,SKU,ASIN,CategoryCode,CategoryName,ProductCode,IsActive,Style,SizeName,Size,SizeUOM,FulfillmentChannel
FR100ALMFBA,FR100ALM,B01F7MDJ26,SNG,Singles,ALM,TRUE,Almond,100ML,100,ml,AMAZON_NA
FR100ALOFBA,FR100ALO,B07JJSD23S,SNG,Singles,ALO,TRUE,Aloe,100ML,100,ml,AMAZON_NA
FR100AMBFBA,FR100AMB,B01F7MDLEM,SNG,Singles,AMB,TRUE,Ambrosia,100ML,100,ml,AMAZON_NA
FR100AMEFBA,FR100AME,B01F7MDKGQ,SNG,Singles,AME,TRUE,Amber,100ML,100,ml,AMAZON_NA
FR100APCFBA,FR100APC,B01F7MDNHC,SNG,Singles,APC,TRUE,Apple Cider,100ML,100,ml,AMAZON_NA
FR100APIFBA,FR100API,B071RCTS42,SNG,Singles,API,TRUE,Apple Pie,100ML,100,ml,AMAZON_NA
FR100APPFBA,FR100APP,B01F7MDMCI,SNG,Singles,APP,TRUE,Apple,100ML,100,ml,AMAZON_NA
FR100APRFBA,FR100APR,B01F7MDOEO,SNG,Singles,APR,TRUE,Apricot,100ML,100,ml,AMAZON_NA
FR100AUWFBA,FR100AUW,B01M4LCGUT,SNG,Singles,AUW,TRUE,Autumn Wreath,100ML,100,ml,AMAZON_NA
FR100AWSFBA,FR100AWS,B01F7MDPCK,SNG,Singles,AWS,TRUE,Awapuhi & Seaberry,100ML,100,ml,AMAZON_NA
FR100AZAFBA,FR100AZA,B01F7MDQ56,SNG,Singles,AZA,TRUE,Azalea,100ML,100,ml,AMAZON_NA
FR100BACFBA,FR100BAC,B07W7MHTDZ,SNG,Singles,BAC,TRUE,Bacon,100ML,100,ml,AMAZON_NA
FR100BAFFBA,FR100BAF,B0BTMXCRHF,SNG,Singles,BAF,TRUE,Baby Fresh,100ML,100,ml,AMAZON_NA
FR100BAMFBA,FR100BAM,B01F7MDQW4,SNG,Singles,BAM,TRUE,Bamboo,100ML,100,ml,AMAZON_NA
FR100BANFBA,FR100BAN,B01F7MDRQO,SNG,Singles,BAN,TRUE,Banana,100ML,100,ml,AMAZON_NA
FR100BARFBA,FR100BAR,B01F7MDT76,SNG,Singles,BAR,TRUE,Bay Rum,100ML,100,ml,AMAZON_NA
FR100BCRFBA,FR100BCR,B01MA28QQX,SNG,Singles,BCR,TRUE,Berries & Cream,100ML,100,ml,AMAZON_NA
FR100BERFBA,FR100BER,B07W6K1KTP,SNG,Singles,BER,TRUE,Bergamot,100ML,100,ml,AMAZON_NA
FR100BLLFBA,FR100BLL,B07582BDKW,SNG,Singles,BLL,TRUE,Black Licorice,100ML,100,ml,AMAZON_NA
FR100BLMFBA,FR100BLM,B07JJ9LQXQ,SNG,Singles,BLM,TRUE,Blueberry Muffin,100ML,100,ml,AMAZON_NA
FR100BLUFBA,FR100BLU,B01F7MDU4I,SNG,Singles,BLU,TRUE,Blueberry,100ML,100,ml,AMAZON_NA
FR100BRSFBA,FR100BRS,B01F7MDUT8,SNG,Singles,BRS,TRUE,Brown Sugar,100ML,100,ml,AMAZON_NA
FR100BSCFBA,FR100BSC,B075821TN1,SNG,Singles,BSC,TRUE,Butterscotch,100ML,100,ml,AMAZON_NA
FR100BUGFBA,FR100BUG,B01F7MDVPQ,SNG,Singles,BUG,TRUE,Bubble Gum,100ML,100,ml,AMAZON_NA
FR100CAAFBA,FR100CAA,B07581GJ4Z,SNG,Singles,CAA,TRUE,Candy Apple,100ML,100,ml,AMAZON_NA
FR100CABFBA,FR100CAB,B0BTMXVTJW,SNG,Singles,CAB,TRUE,Cake Batter,100ML,100,ml,AMAZON_NA
FR100CACFBA,FR100CAC,B01F7MDWYG,SNG,Singles,CAC,TRUE,Candy Corn,100ML,100,ml,AMAZON_NA
FR100CAFFBA,FR100CAF,B07JJ9DF1D,SNG,Singles,CAF,TRUE,Café Mocha,100ML,100,ml,AMAZON_NA
