End of Month Date,Store,SKU,Description,Category,QtySold,TotalSales
1/31/2025,P&J Etsy,FR10AWS,Awapuhi & Seaberry Fragrance Oil 10ml,Fragrance Oil - 10ML,1,4.99
1/31/2025,P&J Trading,FR10AWS,Awapuhi & Seaberry Fragrance Oil 10ml,Fragrance Oil - 10ML,7,34.93
1/31/2025,P&J Etsy,FR10BAN,Banana Fragrance Oil 10ml,Fragrance Oil - 10ML,2,9.98
1/31/2025,Walmart.com,FR10BAN,Banana Fragrance Oil 10ml,Fragrance Oil - 10ML,5,24.95
1/31/2025,P&J Trading,FR10BAN,Banana Fragrance Oil 10ml,Fragrance Oil - 10ML,10,49.9
1/31/2025,P&J Etsy,FR10BUG,Bubble Gum Fragrance Oil 10ml,Fragrance Oil - 10ML,3,14.97
1/31/2025,P&J Trading,FR10BUG,Bubble Gum Fragrance Oil 10ml,Fragrance Oil - 10ML,10,49.9
1/31/2025,Walmart.com,FR10CHW,Christmas Wreath Fragrance Oil 10ml,Fragrance Oil - 10ML,5,24.95
1/31/2025,P&J Trading,FR10CHW,Christmas Wreath Fragrance Oil 10ml,Fragrance Oil - 10ML,8,39.92
1/31/2025,P&J Etsy,FR10COC,Coconut Fragrance Oil 10ml,Fragrance Oil - 10ML,10,49.9
1/31/2025,Walmart.com,FR10COC,Coconut Fragrance Oil 10ml,Fragrance Oil - 10ML,15,74.85
1/31/2025,P&J Trading,FR10COC,Coconut Fragrance Oil 10ml,Fragrance Oil - 10ML,15,74.85
1/31/2025,P&J Etsy,FR10FRC,Fresh Cotton Fragrance Oil 10ml,Fragrance Oil - 10ML,2,9.98
1/31/2025,Walmart.com,FR10FRC,Fresh Cotton Fragrance Oil 10ml,Fragrance Oil - 10ML,10,49.9
1/31/2025,P&J Trading,FR10FRC,Fresh Cotton Fragrance Oil 10ml,Fragrance Oil - 10ML,12,59.88
1/31/2025,P&J Etsy,FR10GAR,Gardenia Fragrance Oil 10ml,Fragrance Oil - 10ML,7,34.93
1/31/2025,Walmart.com,FR10GAR,Gardenia Fragrance Oil 10ml,Fragrance Oil - 10ML,6,29.94
1/31/2025,P&J Trading,FR10GAR,Gardenia Fragrance Oil 10ml,Fragrance Oil - 10ML,6,29.94
1/31/2025,P&J Etsy,FR10GIN,Gingerbread Fragrance Oil 10ml,Fragrance Oil - 10ML,1,4.99
1/31/2025,P&J Trading,FR10GIN,Gingerbread Fragrance Oil 10ml,Fragrance Oil - 10ML,5,24.95
1/31/2025,Walmart.com,FR10HAS,Harvest Spice Fragrance Oil 10ml,Fragrance Oil - 10ML,2,9.98
1/31/2025,P&J Trading,FR10HAS,Harvest Spice Fragrance Oil 10ml,Fragrance Oil - 10ML,6,29.94
1/31/2025,P&J Etsy,FR10JAS,Jasmine Fragrance Oil 10ml,Fragrance Oil - 10ML,11,54.89
1/31/2025,Walmart.com,FR10JAS,Jasmine Fragrance Oil 10ml,Fragrance Oil - 10ML,13,64.87
1/31/2025,P&J Trading,FR10JAS,Jasmine Fragrance Oil 10ml,Fragrance Oil - 10ML,16,79.84
1/31/2025,P&J Etsy,FR10MAN,Mango Fragrance Oil 10ml,Fragrance Oil - 10ML,1,4.99
1/31/2025,Walmart.com,FR10MAN,Mango Fragrance Oil 10ml,Fragrance Oil - 10ML,1,4.99
1/31/2025,P&J Trading,FR10MAN,Mango Fragrance Oil 10ml,Fragrance Oil - 10ML,13,64.87
1/31/2025,P&J Etsy,FR10PAT,Patchouli Fragrance Oil 10ml,Fragrance Oil - 10ML,14,69.86
1/31/2025,Walmart.com,FR10PAT,Patchouli Fragrance Oil 10ml,Fragrance Oil - 10ML,17,84.83
1/31/2025,P&J Trading,FR10PAT,Patchouli Fragrance Oil 10ml,Fragrance Oil - 10ML,5,24.95
1/31/2025,P&J Etsy,FR10PEC,Peach Fragrance Oil 10ml,Fragrance Oil - 10ML,2,9.98
1/31/2025,Walmart.com,FR10PEC,Peach Fragrance Oil 10ml,Fragrance Oil - 10ML,5,24.95
1/31/2025,P&J Trading,FR10PEC,Peach Fragrance Oil 10ml,Fragrance Oil - 10ML,16,79.84
1/31/2025,P&J Etsy,FR10PIN,Pineapple Fragrance Oil 10ml,Fragrance Oil - 10ML,5,24.95
1/31/2025,Walmart.com,FR10PIN,Pineapple Fragrance Oil 10ml,Fragrance Oil - 10ML,2,9.98
1/31/2025,P&J Trading,FR10PIN,Pineapple Fragrance Oil 10ml,Fragrance Oil - 10ML,4,19.96
1/31/2025,P&J Etsy,FR10RAI,Rain Fragrance Oil 10ml,Fragrance Oil - 10ML,4,19.96
1/31/2025,Walmart.com,FR10RAI,Rain Fragrance Oil 10ml,Fragrance Oil - 10ML,2,9.98
1/31/2025,P&J Trading,FR10RAI,Rain Fragrance Oil 10ml,Fragrance Oil - 10ML,19,94.81
1/31/2025,P&J Etsy,FR10ROS,Rose Fragrance Oil 10ml,Fragrance Oil - 10ML,6,29.94
1/31/2025,Walmart.com,FR10ROS,Rose Fragrance Oil 10ml,Fragrance Oil - 10ML,13,64.87
1/31/2025,P&J Trading,FR10ROS,Rose Fragrance Oil 10ml,Fragrance Oil - 10ML,22,109.78
1/31/2025,P&J Etsy,FR30VAN,Vanilla Fragrance Oil 30ml,Fragrance Oil - 30ML,1,7.99
1/31/2025,Walmart.com,FR30VAN,Vanilla Fragrance Oil 30ml,Fragrance Oil - 30ML,2,15.98
1/31/2025,P&J Trading,FR30VAN,Vanilla Fragrance Oil 30ml,Fragrance Oil - 30ML,13,103.87
1/31/2025,P&J Etsy,FR30JAS,Jasmine Fragrance Oil 30ml,Fragrance Oil - 30ML,3,23.97
1/31/2025,Walmart.com,FR30JAS,Jasmine Fragrance Oil 30ml,Fragrance Oil - 30ML,1,7.99
1/31/2025,P&J Trading,FR30JAS,Jasmine Fragrance Oil 30ml,Fragrance Oil - 30ML,6,47.94
1/31/2025,P&J Etsy,FR30LIL,Lilac Fragrance Oil 30ml,Fragrance Oil - 30ML,1,7.99
1/31/2025,Walmart.com,FR30LIL,Lilac Fragrance Oil 30ml,Fragrance Oil - 30ML,8,63.92
1/31/2025,P&J Trading,FR30LIL,Lilac Fragrance Oil 30ml,Fragrance Oil - 30ML,4,31.96
1/31/2025,Walmart.com,FR30SWP,Sweet Pea Fragrance Oil 30ml,Fragrance Oil - 30ML,2,15.98
