ASIN,SellerSKU,Style,Size,Tier,Cluster,ABC,XYZ,ABCXYZ,annual_2025_corr,cv,formula_type
B01F7ME5CO,FR100FRCFBA,Fresh Cotton,100ML,HIGH,7,A,X,AX,6289,0.163036428,weighted_recent
B01F7MDKGQ,FR100AMEFBA,Amber,100ML,HIGH,7,A,X,AX,6201,0.203447538,weighted_recent
B072281LBW,FR100TEKFBA,Teakwood,100ML,HIGH,6,A,X,AX,6147,0.186239664,weighted_recent
B01F7ME3XU,FR100FOPFBA,Forest Pine,100ML,HIGH,6,A,Z,AZ,6023.869273,1.387334882,same_month_yoy
B071DFPTMX,FR100LEAFBA,Leather,100ML,HIGH,7,A,X,AX,6002,0.171864699,weighted_recent
B01F7MDZ34,FR100CHWFBA,Christmas Wreath,100ML,HIGH,6,A,Z,AZ,5417,1.763003885,same_month_yoy
B01F7ME14Q,FR100ROSFBA,Rose,100ML,HIGH,7,A,X,AX,4412.866,0.202871212,weighted_recent
B07W7JX2WZ,FR100STOFBA,Sweet Tobacco,100ML,HIGH,7,A,X,AX,4300.046458,0.185138308,weighted_recent
B01F7MDZ66,FR100PUPFBA,Pumpkin Pie,100ML,HIGH,3,A,Z,AZ,3700,1.126147305,same_month_yoy
B07JHCHJJY,FR100SSHFBA,Strawberry Shortcake,100ML,HIGH,1,A,X,AX,3558,0.329967535,weighted_recent
B01F7QX27E,FR100LILFBA,Lilac,100ML,HIGH,1,A,X,AX,3371.960909,0.288201689,weighted_recent
B01F7ME4EI,FR100VANFBA,Vanilla,100ML,HIGH,7,A,X,AX,3252.468,0.352769936,weighted_recent
B01F7ME1L4,FR100SANFBA,Sandalwood,100ML,HIGH,6,A,X,AX,3233,0.328887575,weighted_recent
B01F7MDQUG,FR100OCBFBA,Ocean Breeze,100ML,HIGH,1,A,X,AX,3226.939,0.230414965,weighted_recent
B01F7ME3F8,FR100SUGFBA,Sugar Cookie,100ML,HIGH,6,A,Z,AZ,2842,1.017141302,same_month_yoy
B01F7MDZPW,FR100CINFBA,Cinnamon,100ML,HIGH,6,A,Y,AY,2787.034768,0.875333951,velocity_x_seasonal
B01F7MDMXM,FR100LAVFBA,Lavender,100ML,HIGH,6,A,X,AX,2735,0.388389588,weighted_recent
B01F7MDQW4,FR100BAMFBA,Bamboo,100ML,HIGH,1,A,X,AX,2620,0.171562786,weighted_recent
B07JJ92Y7F,FR100CFFFBA,Coffee,100ML,HIGH,6,A,X,AX,2590,0.341131242,weighted_recent
B07W6JWF6T,FR100WAVFBA,Warm Vanilla Sugar,100ML,HIGH,6,A,Y,AY,2576.851,0.588582768,velocity_x_seasonal
B01F7MDK3E,FR100HASFBA,Harvest Spice,100ML,HIGH,3,A,Y,AY,2456,0.972944635,velocity_x_seasonal
B01F7MDUT8,FR100BRSFBA,Brown Sugar,100ML,HIGH,6,A,Y,AY,2211,0.666016559,velocity_x_seasonal
B06ZYHKTPR,FR100CLFFBA,Clean & Fresh,100ML,HIGH,7,A,X,AX,2186,0.205309618,weighted_recent
B01F7ME4WU,FR100FVAFBA,French Vanilla,100ML,HIGH,6,A,Y,AY,1990,0.527345325,velocity_x_seasonal
B01F7MDNHC,FR100APCFBA,Apple Cider,100ML,HIGH,3,A,Y,AY,1932,0.934240227,velocity_x_seasonal
B01F7ME09M,FR100COCFBA,Coconut,100ML,HIGH,7,A,X,AX,1861.772,0.137826647,weighted_recent
B07227V7M5,FR100MSHFBA,Marshmallow,100ML,HIGH,6,A,Y,AY,1814,0.532881748,velocity_x_seasonal
B01F7ME768,FR100GINFBA,Gingerbread,100ML,HIGH,6,A,Z,AZ,1779.402805,1.513758897,same_month_yoy
B01F7MDNV8,FR100LEMFBA,Lemon,100ML,HIGH,6,A,X,AX,1777,0.194838724,weighted_recent
B071RCTS42,FR100APIFBA,Apple Pie,100ML,HIGH,6,A,Y,AY,1733.2332,0.910147718,velocity_x_seasonal
B01F7MDWB4,FR100CDYFBA,Candy Cane,100ML,HIGH,6,A,Z,AZ,1700,1.875334702,same_month_yoy
B01M4LCGUT,FR100AUWFBA,Autumn Wreath,100ML,HIGH,3,A,Z,AZ,1681.729857,1.137004105,same_month_yoy
B01F7ME2WW,FR100STRFBA,Strawberry,100ML,HIGH,7,A,X,AX,1672.079,0.158585697,weighted_recent
B07W7LJ3L6,FR100VABFBA,Vanilla Bean,100ML,MEDIUM,6,A,Y,AY,1647.283279,0.594227285,velocity_x_seasonal
B01F7ME1VO,FR100CRAFBA,Cranberry,100ML,MEDIUM,6,A,Z,AZ,1628.289067,1.205176155,same_month_yoy
